endpoint,endpoint_column,model_id,model_label,feature_set,fold,n_train,n_test,n_train_studies,n_test_studies,selected_ridge_alpha,mae,rmse,r2,spearman_rho
encapsulation_efficiency,ee_mean,ridge_composition,Ridge: composition,composition,4,224,43,20,7,10.0,16.9353179099265,19.249958294905856,-0.8212831722671379,-0.03474896068450686
encapsulation_efficiency,ee_mean,ridge_composition,Ridge: composition,composition,5,224,43,19,8,100.0,15.12957962626028,17.026797070354593,-0.9186568344233932,-0.09661418184019857
encapsulation_efficiency,ee_mean,rf_composition,RF: composition,composition,1,172,95,26,1,,13.296460702329481,18.04679888194706,-0.5477155933765445,
encapsulation_efficiency,ee_mean,rf_composition,RF: composition,composition,2,224,43,22,5,,23.480608379610647,27.993982543691118,-0.7499886237578937,-0.02231096937486937
encapsulation_efficiency,ee_mean,rf_composition,RF: composition,composition,3,224,43,21,6,,10.693990954654872,13.048059867685293,0.14272840364321782,0.31618979327254404
encapsulation_efficiency,ee_mean,rf_composition,RF: composition,composition,4,224,43,20,7,,14.66436679049253,18.24710454304352,-0.636461564758871,0.30347935928209185
encapsulation_efficiency,ee_mean,rf_composition,RF: composition,composition,5,224,43,19,8,,10.330725069196157,13.261734035557806,-0.1639438037155656,0.5212267962237368
encapsulation_efficiency,ee_mean,ridge_descriptors,Ridge: descriptors,descriptors,1,172,95,26,1,3.0,37.74431470742064,40.640848806738504,-6.849036360128171,0.11848390991725666
encapsulation_efficiency,ee_mean,ridge_descriptors,Ridge: descriptors,descriptors,2,224,43,22,5,100.0,22.293309795923097,27.118067556930978,-0.6421897125982827,0.30150432606407607
encapsulation_efficiency,ee_mean,ridge_descriptors,Ridge: descriptors,descriptors,3,224,43,21,6,100.0,10.123446781357353,12.724099308155472,0.18476906105269808,0.34994308169963056
encapsulation_efficiency,ee_mean,ridge_descriptors,Ridge: descriptors,descriptors,4,224,43,20,7,30.0,15.899625507600772,18.89559340093972,-0.7548457948753196,0.1382060323884377
encapsulation_efficiency,ee_mean,ridge_descriptors,Ridge: descriptors,descriptors,5,224,43,19,8,30.0,9.5815813026676,13.818589246428445,-0.2637431088662541,0.06014759985637952
encapsulation_efficiency,ee_mean,rf_descriptors,RF: descriptors,descriptors,1,172,95,26,1,,13.608537101969391,18.0381507682764,-0.546232603131743,0.40510072882815884
encapsulation_efficiency,ee_mean,rf_descriptors,RF: descriptors,descriptors,2,224,43,22,5,,28.663356481288346,33.38308833940892,-1.4886216439699242,-0.2515371070055021
encapsulation_efficiency,ee_mean,rf_descriptors,RF: descriptors,descriptors,3,224,43,21,6,,9.560640488717466,14.534122371595775,-0.06366330818973842,0.10061627000002465
encapsulation_efficiency,ee_mean,rf_descriptors,RF: descriptors,descriptors,4,224,43,20,7,,15.280211218415005,18.18610351126462,-0.6255382994096641,-0.00893047803933258
encapsulation_efficiency,ee_mean,rf_descriptors,RF: descriptors,descriptors,5,224,43,19,8,,9.92782584717975,12.906873008189084,-0.10248695375824579,-0.006216904741020839
encapsulation_efficiency,ee_mean,ridge_combined,Ridge: combined,combined,1,172,95,26,1,30.0,27.33159178390501,31.030503948384695,-3.5758150118139067,0.09175984741162464
encapsulation_efficiency,ee_mean,ridge_combined,Ridge: combined,combined,2,224,43,22,5,100.0,23.576976497165674,28.323504984106986,-0.7914299950166404,0.10573560682702038
encapsulation_efficiency,ee_mean,ridge_combined,Ridge: combined,combined,3,224,43,21,6,100.0,9.833568992241931,12.155210532475797,0.25603667965118093,0.3923348329992818
encapsulation_efficiency,ee_mean,ridge_combined,Ridge: combined,combined,4,224,43,20,7,30.0,16.01263664143225,19.068241900942965,-0.7870602491908021,0.08141652907297524
encapsulation_efficiency,ee_mean,ridge_combined,Ridge: combined,combined,5,224,43,19,8,100.0,10.312688146552558,13.521655430362866,-0.2100160036709109,-0.31564985271033047
encapsulation_efficiency,ee_mean,rf_combined,RF: combined,combined,1,172,95,26,1,,12.903642076416817,16.846931890181974,-0.3487530549339817,0.37082044518729124
encapsulation_efficiency,ee_mean,rf_combined,RF: combined,combined,2,224,43,22,5,,26.29406054102794,30.78773895829582,-1.1167103911512113,0.13486838392770806
encapsulation_efficiency,ee_mean,rf_combined,RF: combined,combined,3,224,43,21,6,,10.095954425912755,13.904562932334624,0.02648816097036577,-0.03254253143798662
encapsulation_efficiency,ee_mean,rf_combined,RF: combined,combined,4,224,43,20,7,,13.53892368660885,16.169446834531914,-0.2850150510774856,-0.1823882431662819
encapsulation_efficiency,ee_mean,rf_combined,RF: combined,combined,5,224,43,19,8,,8.92681170447467,12.203863048647136,0.014342489142165848,0.1690981353805342
